TIME 40: START job worker increment 5; increment 5; increment 5;repeat 30; increment 2; increment 0;
TIME 47: END job worker increment 5; increment 5; increment 5;repeat 30; increment 2; increment 0;
TIME 5089: START job worker decrement 14; decrement 14; increment 14
TIME 5099: END job worker decrement 14; decrement 14; increment 14
TIME 5099: START job worker increment 5; increment 5; increment 5;repeat 30; increment 2; increment 0;
TIME 5287: END job worker increment 5; increment 5; increment 5;repeat 30; increment 2; increment 0;
TIME 5287: START job worker decrement 7; decrement 7; incremt 7
TIME 5828: END job worker decrement 7; decrement 7; incremt 7
TIME 5828: START job worker decrement 7; decrement 7; incremt 7
TIME 5837: END job worker decrement 7; decrement 7; incremt 7
TIME 5837: START job worker decrement 12; decrement 12; increment 12
TIME 5899: END job worker decrement 12; decrement 12; increment 12
TIME 5899: START job worker decrement 15; decrement 15; increment 15
TIME 5903: END job worker decrement 15; decrement 15; increment 15
TIME 5903: START job worker decrement 11; decrement 11; increment 11
TIME 6069: END job worker decrement 11; decrement 11; increment 11
TIME 6069: START job worker repeat 200; increment 3;
TIME 6076: END job worker repeat 200; increment 3;
TIME 6076: START job worker decrement 13; decrement 13; increment 13
TIME 6281: END job worker decrement 13; decrement 13; increment 13
TIME 6281: START job worker decrement 15; decrement 15; increment 15
TIME 6363: END job worker decrement 15; decrement 15; increment 15
TIME 6363: START job worker decrement 17; decrement 16; increment 18
TIME 7431: END job worker decrement 17; decrement 16; increment 18
TIME 7431: START job worker decrement 7; decrement 7; incremt 7
TIME 7488: END job worker decrement 7; decrement 7; incremt 7
TIME 7488: START job worker decrement 15; decrement 15; increment 15
TIME 7498: END job worker decrement 15; decrement 15; increment 15
TIME 7498: START job worker decrement 8; decrement 8; increment 8
TIME 8788: END job worker decrement 8; decrement 8; increment 8
