TIME 5134: START job worker decrement 7; decrement 7; incremt 7
TIME 5462: END job worker decrement 7; decrement 7; incremt 7
TIME 5462: START job worker decrement 8; decrement 8; increment 8
TIME 5466: END job worker decrement 8; decrement 8; increment 8
TIME 5466: START job worker decrement 6; decrement 6; increment 6
TIME 5774: END job worker decrement 6; decrement 6; increment 6
TIME 5827: START job worker decrement 10; decrement 10; increment 10
TIME 5830: END job worker decrement 10; decrement 10; increment 10
TIME 5830: START job worker decrement 17; decrement 16; increment 18
TIME 6038: END job worker decrement 17; decrement 16; increment 18
TIME 6038: START job worker decrement 9; decrement 6; increment 7
TIME 6435: END job worker decrement 9; decrement 6; increment 7
TIME 6435: START job worker decrement 11; decrement 11; increment 11
TIME 6874: END job worker decrement 11; decrement 11; increment 11
TIME 6874: START job worker decrement 8; decrement 8; increment 8
TIME 6965: END job worker decrement 8; decrement 8; increment 8
TIME 6965: START job worker decrement 11; decrement 11; increment 11
TIME 6999: END job worker decrement 11; decrement 11; increment 11
TIME 6999: START job worker decrement 13; decrement 13; increment 13
TIME 7039: END job worker decrement 13; decrement 13; increment 13
TIME 7039: START job worker decrement 8; decrement 8; increment 8
TIME 8790: END job worker decrement 8; decrement 8; increment 8
